name,brand,price,fret-amount,string-amount,scale,body,body-material
IBANEZ GRG121DX-BKF,IBANEZ,27.6,22,6,25.5,Modern stat,тополь
ROCKDALE Stars Black Limited Edition HSS BK,ROCKDALE,13.3,24,6,24.5,Stratocaster,тополь
IBANEZ GRX70QA-TRB,IBANEZ,23.94,24,6,25.5,Superstrat,тополь
ROCKDALE Stars HSS BK,ROCKDALE,12.2,24,6,25.5,Stratocaster,тополь
IBANEZ GRG121DX-WNF,IBANEZ,27.9,22,6,25.5,Superstrat,красное дерево
IBANEZ GRX40-BKN,IBANEZ,24.2,22,6,25.5,Superstrat,тополь
IBANEZ GIO GRG170DX BKN,IBANEZ,35.0,24,6,25.5,Superstrat,тополь
ROCKDALE Stars HSS WH,ROCKDALE,12.2,22,6,24.5,Stratocaster,тополь
IBANEZ GSA60-BKN,IBANEZ,29.4,22,6,25.5,Superstrat,агатис
Ibanez RG421-MOL,Ibanez,45.0,22,6,24.5,Superstrat,красное дерево
IBANEZ JEMJR-WH,IBANEZ,62.0,22,6,25.5,Superstrat,красное дерево
ROCKDALE Stars TE HH Black,ROCKDALE,12.6,24,6,25.5,Telecaster,тополь
IBANEZ GRX70QA-TBB,IBANEZ,26.6,24,6,25.5,Superstrat,тополь
FARIDA F-5050 2-Tone Sunburst,FARIDA,48.0,22,6,25.5,Stratocaster,ольха
IBANEZ RGRT421-WK,IBANEZ,58.0,22,6,25.5,Superstrat,красное дерево
IBANEZ RGA42FM-BLF,IBANEZ,52.0,22,6,25.5,Superstrat,красное дерево
IBANEZ RGMS7-BK,IBANEZ,67.0,22,6,25.5,Superstrat,красное дерево
IBANEZ GRX40-CA,IBANEZ,24.1,24,6,25.5,Superstrat,тополь
IBANEZ GRX40-MGN,IBANEZ,24.1,24,6,24.75,Superstrat,тополь
IBANEZ GSA60-WNF,IBANEZ,29.4,22,6,25.5,Superstrat,агатис
IBANEZ GRG140-WH,IBANEZ,30.0,24,6,25.5,Superstrat,липа
IBANEZ GSA60-BS,IBANEZ,26.46,22,6,25.5,Superstrat,агатис
EART EGLP-610 Gunmetal Black,EART,57.0,22,6,24.75,Les paul,окуме
EART GW2 Black,EART,48.0,22,6,25.5,Modern stat,падук
IBANEZ RG631ALF-BCM,IBANEZ,114.0,22,6,25.5,Superstrat,ньятон
IBANEZ RGD71ALMS-BAM,IBANEZ,132.0,22,6,25.5,Superstrat,ньятон
ROCKDALE Stars HT HSS White,ROCKDALE,12.6,24,6,25.5,Stratocaster,тополь
TERRIS TST-39 BK,TERRIS,10.58,24,6,25.5,Stratocaster,липа
EART NK-C3 Trans Purple,EART,49.0,22,6,25.5,Superstrat,красное дерево
EART EGLP-620 Tobacco Sunburst,EART,78.0,24,6,24.75,Les paul,окуме
EART YMS-SG3 Trans Tobacco Burst,EART,35.0,22,6,25.5,Stratocaster,красное дерево
IBANEZ GRG170DX-SV,IBANEZ,35.0,24,6,25.5,Superstrat,тополь
IBANEZ GRG170DX-SV,IBANEZ,35.0,22,6,25.5,Superstrat,тополь
AIERSI LP-24 Stormy Sky,AIERSI,69.0,22,6,25.0,Les paul,красное дерево
IBANEZ AZES31-IV,IBANEZ,38.0,22,6,25.0,Stratocaster,тополь
IBANEZ GRG220PA1-BKB,IBANEZ,38.0,22,6,25.5,Superstrat,окуме
IBANEZ S521-BBS,IBANEZ,56.0,24,6,25.5,Superstrat,красное дерево
FARIDA Marina F-3030 Black,FARIDA,26.1,24,6,25.5,Stratocaster,тополь
GRX70QA-SB,GRX70QA-SB,26.6,22,6,26.5,Stratocaster,тополь
IBANEZ AZES40-BK,IBANEZ,41.0,24,6,25.0,Superstrat,тополь
ROCKDALE Stars Plus HT HSS White,ROCKDALE,16.5,24,6,25.5,Stratocaster,тополь
EART GW2 Stealth Arctic White,EART,48.0,22,6,25.5,Stratocaster,падук
AIERSI ST-11 Black,AIERSI,19.8,22,6,25.5,Stratocaster,липа
AIERSI TL-10 Black,AIERSI,20.7,22,6,25.5,Modern stat,красное дерево
IBANEZ ARTCORE AF55-TF,IBANEZ,49.0,24,6,24.7,Modern stat,клён
EART EXPLORER-H6 Black,EART,78.0,24,6,24.5,Modern stat,тополь
EART E-335 Brown Sunburst,EART,53.0,24,6,24.75,Modern stat,красное дерево
EART NK-C1 Trans Brown,EART,48.0,24,6,25.5,Telecaster,красное дерево
EART NK-C3 Trans Red,EART,49.0,24,6,25.5,Superstrat,красное дерево
EART YMS-SG3 Trans Blue,EART,35.0,22,6,25.5,Stratocaster,красное дерево
IBANEZ AG75G-BS,IBANEZ,67.0,24,6,24.75,Superstrat,липа
TERRIS TST-39 SB,TERRIS,10.58,22,6,25.5,Stratocaster,липа
FARIDA Marina F-3030 3TS,FARIDA,26.1,24,6,25.5,Stratocaster,тополь
IBANEZ AS93FM-VLS,IBANEZ,85.0,22,6,26.5,другая форма,клён
DENN ST100 BK,DENN,10.49,24,6,25.5,Modern stat,платан
IBANEZ AS53-TKF,IBANEZ,43.0,22,6,25.5,другая форма,сапеле
FARIDA F-5050 White,FARIDA,43.2,22,6,26.5,Stratocaster,ольха
"S by Solar AB4.6W электрогитара, цвет белый",S,28.99,22,6,26.5,Superstrat,тополь
FARIDA F-5051 Black,FARIDA,50.4,24,6,25.5,Stratocaster,ольха
IBANEZ AS73-TBC,IBANEZ,59.0,22,6,25.5,Superstrat,клён
ROCKDALE Stars Plus SSS Maple Black,ROCKDALE,14.5,22,6,25.5,Stratocaster,тополь
EART EGLP-620 Lemon Yellow,EART,78.0,22,6,24.75,другая форма,окуме
AS73G-BKF,AS73G-BKF,65.0,22,6,25.5,Modern stat,клён
